question,long_answer,short_answers
how long is a day in majora's mask,N/A,['N/A']
here we go round the mulberry bush origin,N/A,['N/A']
when did under the cork tree come out,N/A,['N/A']
when did korea separate into north and south,N/A,['N/A']
who discovered the atom and in what year,N/A,['N/A']
what is the purpose of the muscles that line the esophagus,N/A,['N/A']
creating appropriation bills falls under which power of congress,N/A,['N/A']
who is the movie wonder based off of,N/A,['N/A']
where does eye of the round roast come from,N/A,['N/A']
who sings the song let me love you,N/A,['N/A']
a resolution on the rights of minorities by congress was initiated by,N/A,['N/A']
how many seasons are there for lost girl,N/A,['N/A']
who is the leading african producer of wool,N/A,['N/A']
what percentage of the us population is over 50,N/A,['N/A']
the key to rescuing a man overboard is,N/A,['N/A']
where was the first nhl hockey game played,N/A,['N/A']
who dies in a place to call home,N/A,['N/A']
how many inches is the iphone 5s screen,N/A,['N/A']
where do the signals for apoptosis come from,N/A,['N/A']
meaning of song someone saved my life tonight,N/A,['N/A']
who made delhi as capital for the first time,N/A,['N/A']
what was the first capital city of australia,N/A,['N/A']
who won the womens 2017 ncaa basketball tournament,N/A,['N/A']
how many episodes of ray donovan series 3 are there,N/A,['N/A']
what game show host has a black belt,N/A,['N/A']
at one point during the first world war the french prime minister,N/A,['N/A']
when does canada switch to daylight savings time,N/A,['N/A']
where does jack ryan live in patriot games,N/A,['N/A']
who gave the famous objective co relative theory,N/A,['N/A']
what is the meaning of the name mandy,N/A,['N/A']
paleomagnetism is a dating method based on changes in the earth's polarity as demonstrated by,N/A,['N/A']
atx cases are compatible with which type of motherboard,N/A,['N/A']
when did cable stayed bridges increase in popularity,N/A,['N/A']
does newman's own really give all profits to charity,N/A,['N/A']
what happened to the actor who played frost on rizzoli and isles,N/A,['N/A']
movement for the restoration of the 10 commandments,N/A,['N/A']
is the son of the beast still at kings island,N/A,['N/A']
where do bullets go when fired in the air,N/A,['N/A']
what true story is the movie fargo based on,N/A,['N/A']
who was the highest ranking official in the early christian church,N/A,['N/A']
where did the keep calm thing come from,N/A,['N/A']
which domain of life are humans members of,N/A,['N/A']
when do replays become available on nfl game pass,N/A,['N/A']
where does the last name perry come from,N/A,['N/A']
what is the taxonomical significance of the gram stain method,N/A,['N/A']
the warren court ruled that constitutional protections did not extend to prisoners,N/A,['N/A']
who are the 12 cylons in battlestar galactica,N/A,['N/A']
when is the new jurassic world game coming out,N/A,['N/A']
what was the alliance between great britian russia and france known as,N/A,['N/A']
dr blake mysteries the ties of the past cast,N/A,['N/A']
who was invited to the peace talks in versailles,N/A,['N/A']
when was the death penalty reinstated in oregon,N/A,['N/A']
difference between straight and order bill of lading,N/A,['N/A']
after the fall of constantinople in 1453 moscow became known as the third rome,N/A,['N/A']
what was icq as related to instant messaging,N/A,['N/A']
when does season 3 of the riveras start,N/A,['N/A']
chandra and bhaga river meets at the place,N/A,['N/A']
who took part in the american civil war,N/A,['N/A']
all types of joints allow for the same range of motion,N/A,['N/A']
the source presents hip hop hits vol. 4 songs,N/A,['N/A']
when do subtitles start in the passion of the christ,N/A,['N/A']
when was the national flag of india adopted,N/A,['N/A']
stevie wonder that's what christmas means to me,N/A,['N/A']
what was the most important new religious figure of the new kingdom of ancient egypt,N/A,['N/A']
paragraph the problem of higher education in bangladesh,N/A,['N/A']
what happened at the chernobyl nuclear power plant,N/A,['N/A']
who is often associated with printing the first book using moveable type in germany,N/A,['N/A']
who sang the song angel of my life,N/A,['N/A']
when does the sa node begin electrical signaling,N/A,['N/A']
who are the artists in the traveling wilburys,N/A,['N/A']
who plays artemisia in 300 rise of an empire,N/A,['N/A']
who is the most played artist on spotify,N/A,['N/A']
which term describes the replacement of damaged cells to mend a tissue,N/A,['N/A']
where are haploid cells found in the human body,N/A,['N/A']
lamb of god as the palaces burn album,N/A,['N/A']
form from material that has accumulated on the earths surface,N/A,['N/A']
where is the opposition with jordan klepper filmed,N/A,['N/A']
how does olivia secure the love of the man she believes to be cesario,N/A,['N/A']
when is the last time the new york giants won the super bowl,N/A,['N/A']
when is the next step up movie coming out,N/A,['N/A']
nickname given to railroad executives due to shady practices of their businesses,N/A,['N/A']
who is the main character in black midas,N/A,['N/A']
who is young george bailey in it's a wonderful life,N/A,['N/A']
who won the battle of stirling bridge 1297,N/A,['N/A']
who plays dylan in daddy's home 2,N/A,['N/A']
which is not a power of the united states congress,N/A,['N/A']
where is the tablet of the ten commandments,N/A,['N/A']
where does the chinatown bus stop in nyc,N/A,['N/A']
when did the right to buy scheme start,N/A,['N/A']
what is a cvv code on a visa gift card,N/A,['N/A']
i wonder what she's doing tonight barry and the tamerlanes,N/A,['N/A']
what is the difference between intramural and interscholastic sports,N/A,['N/A']
how many ounces in one shot of liquor,N/A,['N/A']
who sang will i see you in september,N/A,['N/A']
who issued gold coins for the first time in india,N/A,['N/A']
highest olympic female score on the vault in the olympics,N/A,['N/A']
how many players have scored 10000 runs in odi,N/A,['N/A']
what is the movie new jersey drive about,N/A,['N/A']
what do mobile numbers start with in the uk,N/A,['N/A']
do ghanaians need visa to go to singapore,N/A,['N/A']
who has won the most f1 grand prix,N/A,['N/A']
who is the present rajya sabha speaker of india,N/A,['N/A']
what are all the teams in the winter olympics,N/A,['N/A']
latest series of keeping up with the kardashians,N/A,['N/A']
where does the saying keeping up with the jones come from,N/A,['N/A']
who plays meredith quill in guardians of the galaxy 2,N/A,['N/A']
identify any three causes of human trafficking in south africa,N/A,['N/A']
where was hallmark movie a country wedding filmed,N/A,['N/A']
who is the guy on keeping up with the kardashians,N/A,['N/A']
who has the most catches in nfl history,N/A,['N/A']
how does a star become a main sequence,N/A,['N/A']
locations for the film an englishman who went up a hill,N/A,['N/A']
where does hou safely hide after escaping jail,N/A,['N/A']
when did bihar bifurcate from bengal and some parts of chota nagpur merged into bengal,N/A,['N/A']
when was the last time mount ruapehu erupted,N/A,['N/A']
the andhra pradesh state handloom weavers' cooperative society limited hyderabad telangana,N/A,['N/A']
where did expression knock on wood come from,N/A,['N/A']
where was 2017 beauty and the beast filmed,N/A,['N/A']
what proposition made the insurance commissioner an elected position,N/A,['N/A']
who has the number one pick in nba draft,N/A,['N/A']
where is the 7th game of the world series played,N/A,['N/A']
birth certificates are most often completed by the department,N/A,['N/A']
who did the united states not have problems with on the high seas,N/A,['N/A']
juno this is the way it goes and goes and goes,N/A,['N/A']
who attended all the three round table conferences,N/A,['N/A']
who is the valley of the dolls based on,N/A,['N/A']
why is there a ball in guinness beer,N/A,['N/A']
what is the function of trnas in protein synthesis,N/A,['N/A']
who is the girl in the once bitten twice shy video,N/A,['N/A']
who was the actor who played crocodile dundee,N/A,['N/A']
who was the song michelle by the beatles written for,N/A,['N/A']
where are trigger points located in the body,N/A,['N/A']
in industry the ph of a solution used to dye cloth must be controlled,N/A,['N/A']
who bowled the last over of the 2007 world twenty20 that india won,N/A,['N/A']
ambulatory is a term used in health care to describe,N/A,['N/A']
when are the olympics going to be in canada,N/A,['N/A']
who was the ottoman governor who led egypt in the years following the napoleonic wars,N/A,['N/A']
what role does the president play in foreign affairs,N/A,['N/A']
what are the countries located in north america,N/A,['N/A']
who hit 6 sixes in an over in test cricket,N/A,['N/A']
how long has it been since eagles went to super bowl,N/A,['N/A']
when does the 15 vat come into effect,N/A,['N/A']
who did the united states win its independence from,N/A,['N/A']
who won season 8 of america's next top model,N/A,['N/A']
the faster moving star in a binary is,N/A,['N/A']
who plays justin hammer in iron man 2,N/A,['N/A']
who got eliminated in dance champions 29 october 2017,N/A,['N/A']
day off in lieu of public holiday uk,N/A,['N/A']
how many branches of reserve bank of india in india,N/A,['N/A']
who was an early advocate for using scientific methods based on inductive reasoning,N/A,['N/A']
how many hilton hotels are there in the uk,N/A,['N/A']
the first political society started under british rule in india was,N/A,['N/A']
when does crossing over occur and why is it important,N/A,['N/A']
when did the modern world system approximately end,N/A,['N/A']
what is an example of a tricyclic antidepressant,N/A,['N/A']
please give a brief description of the 7 major structures of a bacteria cell,N/A,['N/A']
who won mark and goal of the year 2017,N/A,['N/A']
who has been fined the most in the nfl,N/A,['N/A']
how many lucky charms marshmallows are in one box,N/A,['N/A']
why are there different time zones in australia,N/A,['N/A']
who will get ticket to finale in rising star 2,N/A,['N/A']
inter milan and ac milan share the same stadium,N/A,['N/A']
who said i think there is a world market for maybe five computers,N/A,['N/A']
list of countries that can enter uk without visa,N/A,['N/A']
when's the last time philly won the superbowl,N/A,['N/A']
where does the term pop music come from,N/A,['N/A']
where does the friday the 13th superstition come from,N/A,['N/A']
what's written in the book at the end of it's a wonderful life,N/A,['N/A']
the presidents of the united states of america - kitty,N/A,['N/A']
is the right to life liberty and the pursuit of happiness in the constitution,N/A,['N/A']
who abolished slave trade in nigeria and in what year,N/A,['N/A']
who administers the oath of office to the vice president,N/A,['N/A']
the rime of the ancient mariner albatross symbolism,N/A,['N/A']
what is the role of a canadian senator,N/A,['N/A']
where can a master at arms be stationed,N/A,['N/A']
who became the king of ayodhya after ram,N/A,['N/A']
yuvraj singh man of the match in ipl,N/A,['N/A']
sweet life of zack and cody crazy girl,N/A,['N/A']
what is head to head in dream 11,N/A,['N/A']
what is the most famous building in rennes,N/A,['N/A']
differentiate competitor intelligence competitive intelligence and business intelligence,N/A,['N/A']
treaty on the functioning of the european union eur-lex,N/A,['N/A']
song my name is jack and i live in the back,N/A,['N/A']
when did equus first appear in fossil record,N/A,['N/A']
where was percy jackson and the olympians filmed,N/A,['N/A']
how many medals has the american team won,N/A,['N/A']
when was the last amendment to the constitution passed,N/A,['N/A']
who continues to exist according to the zhou chinese,N/A,['N/A']
sending money home to the native country is an example of,N/A,['N/A']
how many points did lebron james scored in his career,N/A,['N/A']
what is foreign account tax compliance act (fatca),N/A,['N/A']
united states forces intervened in latin american governments when,N/A,['N/A']
how many indian prime ministers were born in independent india,N/A,['N/A']
i dont have anything since i dont have you,N/A,['N/A']
who was charlie writing to in perks of being a wallflower movie,N/A,['N/A']
how many students audition for laguardia high school,N/A,['N/A']
what is henry james the real thing about,N/A,['N/A']
who won the men's single title of australia open on 1 february 2015,N/A,['N/A']
who played mr. willoughby in sense and sensibility,N/A,['N/A']
when is star vs the forces of evil coming back 2018,N/A,['N/A']
when did the soviet union start and end,N/A,['N/A']
who is the character of santa claus based on,N/A,['N/A']
who does the we have the meats voice,N/A,['N/A']
who wins the next iron chef super chefs,N/A,['N/A']
how to reach red light area in kolkata,N/A,['N/A']
where are the hormones of the anterior pituitary created,N/A,['N/A']
what is the difference between an unknown sample and a control,N/A,['N/A']
is season 7 the last season of the vampire diaries,N/A,['N/A']
who has won table tennis national championship recently,N/A,['N/A']
where are the stars of my three sons now,N/A,['N/A']
where was one direction what makes you beautiful filmed,N/A,['N/A']
who got the best record in the wnba,N/A,['N/A']
when did they start vaccinating for whooping cough,N/A,['N/A']
what was the worst flu season in history,N/A,['N/A']
who is the new york state senate majority leader,N/A,['N/A']
who created the pieta and also painted the ceiling of the sistine chapel,N/A,['N/A']
the core of an optical fiber has a,N/A,['N/A']
the cast of the facts of life tv show,N/A,['N/A']
who played cory's older brother on boy meets world,N/A,['N/A']
who sings i want to be a rockstar,N/A,['N/A']
who did virginia cavaliers lose to in basketball this year,N/A,['N/A']
how many times has alabama been to the rose bowl,N/A,['N/A']
who was the king of england in 1756,N/A,['N/A']
where is cinque terre italy on a map,N/A,['N/A']
what was the full name of the titanic,N/A,['N/A']
the strange case of jekyll and hyde characters,N/A,['N/A']
to whom do the powers not given to the federal government by the constitution go,N/A,['N/A']
which president of the united states was a boy scout,N/A,['N/A']
where does the last name orozco originate from,N/A,['N/A']
that's so raven don't have a cow episode,N/A,['N/A']
which river separates the bronx in new york city from manhattan island,N/A,['N/A']
do you have to identify yourself to police in georgia,N/A,['N/A']
what is the difference between genotype and allele frequencies,N/A,['N/A']
what is the average temperature in ecuador in january,N/A,['N/A']
derek and meredith get back together season 3,N/A,['N/A']
list of regional rural banks in west bengal,N/A,['N/A']
where does the red wolf live in the world,N/A,['N/A']
who has played in the most premier league derbies,N/A,['N/A']
why did sam want dean to become a vampire,N/A,['N/A']
i like the way you move video cast,N/A,['N/A']
is there horse riding in the commonwealth games,N/A,['N/A']
what is the full scientific name for the e. coli bacteria,N/A,['N/A']
when was the rock and roll hall of fame built in cleveland,N/A,['N/A']
what is the meaning of fire and fury,N/A,['N/A']
who acts as the chairman of the election commission,N/A,['N/A']
who played mrs warboys in one foot in the grave,N/A,['N/A']
where was the diary of a wimpy kid filmed,N/A,['N/A']
who wrote the song always be humble and kind,N/A,['N/A']
the lm317 is an example of an ic,N/A,['N/A']
does xbox 360 games work on xbox one,N/A,['N/A']
what is the time setting of game of thrones,N/A,['N/A']
where does arsenic and old lace take place,N/A,['N/A']
what is the second book in the alchemyst series,N/A,['N/A']
whats the greatest common factor of 20 and 32,N/A,['N/A']
where is ikot okpudo located in akwa ibom state,N/A,['N/A']
cats in the cradle and the man in the moon,N/A,['N/A']
bowler to take hattrick in both inning in test match,N/A,['N/A']
where was the last scene in shooter filmed,N/A,['N/A']
how often can you have a halls cough drop,N/A,['N/A']
what is the width of a cricket bat,N/A,['N/A']
who played alex cross in along came a spider,N/A,['N/A']
who was the first signatory of the israeli declaration of independence,N/A,['N/A']
who came up with the first working periodic table,N/A,['N/A']
when did cybermen first appear in doctor who,N/A,['N/A']
the eyes of the dragon by stephen king,N/A,['N/A']
oklahoma's 10 geographic regions are defined by surface features called,N/A,['N/A']
communities of similar organisms found in a particular environment are called,N/A,['N/A']
who plays scrooge mcduck in the new ducktales,N/A,['N/A']
who wrote i'm in the mood for dancing,N/A,['N/A']
who warned that a president who could be reelected again and again may easily become a king,N/A,['N/A']
what does it mean when you roll your thumbs,N/A,['N/A']
most passing yards in nfl history in a game,N/A,['N/A']
how many world series wins does the dodgers have,N/A,['N/A']
who has the world's largest standing army,N/A,['N/A']
what does the keys to the city mean,N/A,['N/A']
why is dmf used as a solvent in a wittig reaction,N/A,['N/A']
what is one element a topographic map shows,N/A,['N/A']
who is dwayne johnson related to in wwe,N/A,['N/A']
who won the nobel peace prize for 2017,N/A,['N/A']
what does the song gravity by sara mean,N/A,['N/A']
how many cities and towns are in the united states of america,N/A,['N/A']
who played chris pines secretary in wonder woman,N/A,['N/A']
when does clark meet the flash in smallville,N/A,['N/A']
who played bat masterson in the movie tombstone,N/A,['N/A']
why did the colonists have a problem with the tea act of 1773,N/A,['N/A']
who started the tradition of coloring easter eggs,N/A,['N/A']
why was hong kong important to the british empire,N/A,['N/A']
where does cleavage of the peptide bond by chymotrypsin occur,N/A,['N/A']
there are five compounds in the family of sulfur-fluorine,N/A,['N/A']
who were the first non native settlers in the us,N/A,['N/A']
which is not true about the chinese horse,N/A,['N/A']
with third degree atrioventricular (av) block if the block is low in the bundle of his the pacemaker,N/A,['N/A']
who got eliminated on the challenge dirty thirty,N/A,['N/A']
how long did it take to build the great pyramid of egypt,N/A,['N/A']
where am i on the steelers waiting list,N/A,['N/A']
which of the following is not a part of a microbes genome,N/A,['N/A']
what channel is nbc sports northwest on directv,N/A,['N/A']
beginning to be a bit of an acronym,N/A,['N/A']
which is the world's largest company in terms of revenue,N/A,['N/A']
story of love you to the stars and back,N/A,['N/A']
when does the new back to the future movie come out,N/A,['N/A']
what is the term for circular movement around a central point,N/A,['N/A']
where do the secretory cells of endocrine glands secrete their products,N/A,['N/A']
where did the cosbys live in new york,N/A,['N/A']
christmas though a christian holiday began as a celebration of,N/A,['N/A']
where did the beer hall putsch take place,N/A,['N/A']
who said beware of the ides of march,N/A,['N/A']
in what state was the united states center of population gravity located during the period 1790,N/A,['N/A']
where does the girl who was supposed to die take place,N/A,['N/A']
who play the wilson sisters in white chicks,N/A,['N/A']
what are the political parties in south korea,N/A,['N/A']
who are the stars in dancing with the stars,N/A,['N/A']
how does the system of checks and balances enable congress to control the presidents foreign policy,N/A,['N/A']
what is the difference between ti 84 plus and silver,N/A,['N/A']
who proclaimed 5th october as world’s teachers day,N/A,['N/A']
what is the longitude and latitude of the north pole,N/A,['N/A']
when does season 6 of the next step start,N/A,['N/A']
what is the third season of total drama,N/A,['N/A']
how many times has south korea held the winter olympics,N/A,['N/A']
what happens at the end of lincoln lawyer,N/A,['N/A']
what was the biggest tank in world war 2,N/A,['N/A']
where does bank of america invest its money,N/A,['N/A']
chris cornell she's going to change the world,N/A,['N/A']
how tall is the tallest building in las vegas,N/A,['N/A']
did they use helicopters in world war 2,N/A,['N/A']
who won the ladies ice skating in the olympics,N/A,['N/A']
when was the dome of the rock completed,N/A,['N/A']
abbreviated name of the highest peak in tasmania,N/A,['N/A']
dragons race to the edge season 5 episode 14 defenders of the wing part 2,N/A,['N/A']
who's opening for foo fighters at fenway,N/A,['N/A']
who wrote yakkity yak don't talk back,N/A,['N/A']
nova scotia duck tolling retriever colors red golden,N/A,['N/A']
who explored waters of cuba the bahamas and hispaniola,N/A,['N/A']
what was the climate like in ancient egypt,N/A,['N/A']
why is southern ireland not part of the united kingdom,N/A,['N/A']
when does jenny come back to gossip girl,N/A,['N/A']
who played mrs. trumbull on i love lucy,N/A,['N/A']
where did the butchers in the slaughterhouse cases live,N/A,['N/A']
explain the function of the peripheral nervous system,N/A,['N/A']
yo la tengo theres a riot going on release date,N/A,['N/A']
the bay and the islands of colonia del sacramento,N/A,['N/A']
where is a unitary system of government found,N/A,['N/A']
what is the order of the netflix marvel shows,N/A,['N/A']
where do you get male pattern baldness from,N/A,['N/A']
a type of basic rock popular in the 1980s,N/A,['N/A']
who played mama odie in princess and the frog,N/A,['N/A']
zombies are a particular challenge for which of the following theories of mind,N/A,['N/A']
who represents the insured in the investigation of a claim,N/A,['N/A']
handsome boy modeling school so how's your girl full album,N/A,['N/A']
where did the rulers of the qing dynasty originate,N/A,['N/A']
what word is used to describe knowledge about the universe and method of obtaining that knowledge,N/A,['N/A']
who is considered the father of modern cosmology,N/A,['N/A']
which state is located in the centre of india,N/A,['N/A']
what is wifi b/g/n,N/A,['N/A']
what does the end of catcher in the rye mean,N/A,['N/A']
difference between press fit and threaded bottom bracket,N/A,['N/A']
when was the last time an american won the new york marathon,N/A,['N/A']
who were the parties to the atlantic charter in 1941 what were their eight common principles,N/A,['N/A']
what is the name of the weapon the grim reaper carries,N/A,['N/A']
who was the top scorer in 2014 world cup,N/A,['N/A']
where do actors stay when filming on location,N/A,['N/A']
praise my soul the king of heaven lyrics praise him praise him,N/A,['N/A']
what does taking the log of something do,N/A,['N/A']
who plays captain phasma in star wars the force awakens,N/A,['N/A']
when did the brown vs board of education start and end,N/A,['N/A']
who won so you think you can dance season 13,N/A,['N/A']
